File: rfl400.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=223165, dur=5.060 sec
File: rfl401.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=193300, dur=4.383 sec
File: rfl402.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=194021, dur=4.400 sec
File: rfl403.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=207974, dur=4.716 sec
File: rfl404.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=199591, dur=4.526 sec
File: rfl405.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=181859, dur=4.124 sec
File: rfl406.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=196632, dur=4.459 sec
File: rfl407.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=195008, dur=4.422 sec
File: rfl408.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=196277, dur=4.451 sec
File: rfl409.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=183389, dur=4.158 sec
File: rfl410.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=184148, dur=4.176 sec
File: rfl411.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=189819, dur=4.304 sec
File: rfl500.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=179967, dur=4.081 sec
File: rfl501.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=177160, dur=4.017 sec
File: rfl502.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=187440, dur=4.250 sec
File: rfl503.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=199568, dur=4.525 sec
File: rfl504.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=184284, dur=4.179 sec
File: rfl505.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=176472, dur=4.002 sec
File: rfl506.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=181788, dur=4.122 sec
File: rfl507.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=192186, dur=4.358 sec
File: rfl508.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=183157, dur=4.153 sec
File: rfl509.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=186386, dur=4.226 sec
File: rfl510.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=173520, dur=3.935 sec
File: rfl511.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=195741, dur=4.439 sec
File: rfl600.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=191886, dur=4.351 sec
File: rfl601.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=194682, dur=4.415 sec
File: rfl602.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=181438, dur=4.114 sec
File: rfl603.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=169408, dur=3.841 sec
File: rfl604.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=184169, dur=4.176 sec
File: rfl605.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=172412, dur=3.910 sec
File: rfl606.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=190408, dur=4.318 sec
File: rfl607.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=114901, dur=2.605 sec
File: rfl608.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=151997, dur=3.447 sec
File: rfl609.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=150663, dur=3.416 sec
File: rfl610.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=164175, dur=3.723 sec
File: rfl611.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=153105, dur=3.472 sec
File: rfl700.3.wav, Type: .wav, SR=44100, nchans=1, nsamps=156932, dur=3.559 sec
