File: rfl400.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=197916, dur=4.488 sec
File: rfl401.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=186959, dur=4.239 sec
File: rfl402.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=179613, dur=4.073 sec
File: rfl403.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=166427, dur=3.774 sec
File: rfl404.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=171079, dur=3.879 sec
File: rfl405.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=186701, dur=4.234 sec
File: rfl406.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=205512, dur=4.660 sec
File: rfl407.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=175758, dur=3.985 sec
File: rfl408.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=185802, dur=4.213 sec
File: rfl409.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=191476, dur=4.342 sec
File: rfl410.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=181209, dur=4.109 sec
File: rfl411.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=168754, dur=3.827 sec
File: rfl500.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=148217, dur=3.361 sec
File: rfl501.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=166500, dur=3.776 sec
File: rfl502.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=179874, dur=4.079 sec
File: rfl503.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=175655, dur=3.983 sec
File: rfl504.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=180512, dur=4.093 sec
File: rfl505.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=163584, dur=3.709 sec
File: rfl506.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=154793, dur=3.510 sec
File: rfl507.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=169970, dur=3.854 sec
File: rfl508.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=157318, dur=3.567 sec
File: rfl509.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=157042, dur=3.561 sec
File: rfl510.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=152885, dur=3.467 sec
File: rfl511.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=159477, dur=3.616 sec
File: rfl600.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=168518, dur=3.821 sec
File: rfl601.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=170914, dur=3.876 sec
File: rfl602.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=178564, dur=4.049 sec
File: rfl603.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=165663, dur=3.757 sec
File: rfl604.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=164694, dur=3.735 sec
File: rfl605.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=156177, dur=3.541 sec
File: rfl606.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=172901, dur=3.921 sec
File: rfl607.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=167703, dur=3.803 sec
File: rfl608.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=165147, dur=3.745 sec
File: rfl609.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=162753, dur=3.691 sec
File: rfl610.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=142756, dur=3.237 sec
File: rfl611.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=150205, dur=3.406 sec
File: rfl700.2.wav, Type: .wav, SR=44100, nchans=1, nsamps=151001, dur=3.424 sec
