File: rfl400.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=152194, dur=3.451 sec
File: rfl401.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=154815, dur=3.511 sec
File: rfl402.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=181319, dur=4.112 sec
File: rfl403.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=175691, dur=3.984 sec
File: rfl405.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=166608, dur=3.778 sec
File: rfl406.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=164014, dur=3.719 sec
File: rfl407.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=159843, dur=3.625 sec
File: rfl408.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=156384, dur=3.546 sec
File: rfl409.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=157497, dur=3.571 sec
File: rfl410.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=178541, dur=4.049 sec
File: rfl411.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=145887, dur=3.308 sec
File: rfl500.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=124610, dur=2.826 sec
File: rfl501.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=131891, dur=2.991 sec
File: rfl502.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=167476, dur=3.798 sec
File: rfl503.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=158021, dur=3.583 sec
File: rfl504.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=147813, dur=3.352 sec
File: rfl505.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=169829, dur=3.851 sec
File: rfl506.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=136160, dur=3.088 sec
File: rfl507.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=159698, dur=3.621 sec
File: rfl508.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=163486, dur=3.707 sec
File: rfl509.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=153776, dur=3.487 sec
File: rfl510.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=167284, dur=3.793 sec
File: rfl511.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=173829, dur=3.942 sec
File: rfl600.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=134561, dur=3.051 sec
File: rfl601.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=124754, dur=2.829 sec
File: rfl602.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=158431, dur=3.593 sec
File: rfl603.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=154987, dur=3.514 sec
File: rfl604.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=157676, dur=3.575 sec
File: rfl605.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=157492, dur=3.571 sec
File: rfl606.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=182872, dur=4.147 sec
File: rfl607.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=172018, dur=3.901 sec
File: rfl608.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=154214, dur=3.497 sec
File: rfl609.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=153557, dur=3.482 sec
File: rfl610.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=159844, dur=3.625 sec
File: rfl611.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=165166, dur=3.745 sec
File: rfl700.1.wav, Type: .wav, SR=44100, nchans=1, nsamps=174339, dur=3.953 sec
