Time, Low-pass and crossfade (2st partial)
0.000000, 0.135993
0.001515, 0.652767
0.003029, 0.652767
0.004544, 0.625568
0.006059, 1.142342
0.007573, 0.489575
0.009088, 0.217589
0.010603, 0.271986
0.012118, 0.299185
0.013632, 0.190390
0.015147, 0.435178
0.016662, 0.462377
0.018176, 0.054397
0.019691, 0.571171
0.021206, 0.380781
0.022720, 0.244788
0.024235, 0.489575
0.025750, 0.707164
0.027264, 0.108794
0.028779, 0.299185
0.030294, 0.326383
0.031809, 0.843157
0.033323, 0.897554
0.034838, 1.060746
0.036353, 0.543972
0.037867, 0.407979
0.039382, 0.135993
0.040897, 1.033548
0.042411, 1.604719
0.043926, 0.761561
0.045441, 0.353582
0.046955, 0.734363
0.048470, 0.761561
0.049985, 1.169541
0.051500, 1.087945
0.053014, 0.625568
0.054529, 0.843157
0.056044, 0.843157
0.057558, 0.815959
0.059073, 0.543972
0.060588, 0.108794
0.062102, 0.625568
0.063617, 0.516774
0.065132, 1.033548
0.066646, 0.707164
0.068161, 0.598370
0.069676, 0.924753
0.071191, 0.761561
0.072705, 0.435178
0.074220, 0.271986
0.075735, 0.788760
0.077249, 0.788760
0.078764, 0.543972
0.080279, 1.115143
0.081793, 1.142342
0.083308, 0.380781
0.084823, 0.707164
0.086337, 0.788760
0.087852, 0.598370
0.089367, 0.652767
0.090882, 0.380781
0.092396, 0.407979
0.093911, 3.644615
0.095426, 7.914798
0.096940, 9.573915
0.098455, 9.601113
0.099970, 6.799655
0.101484, 8.757956
0.102999, 6.663662
0.104514, 6.500470
0.106028, 5.194936
0.107543, 1.414328
0.109058, 2.203088
0.110573, 1.006349
0.112087, 1.468725
0.113602, 2.475075
0.115117, 2.583869
0.116631, 1.414328
0.118146, 1.550321
0.119661, 2.638266
0.121175, 2.937451
0.122690, 1.278335
0.124205, 0.435178
0.125719, 0.163192
0.127234, 1.550321
0.128749, 1.359931
0.130264, 1.142342
0.131778, 0.271986
0.133293, 1.115143
0.134808, 1.251137
0.136322, 0.516774
0.137837, 0.571171
0.139352, 1.251137
0.140866, 0.652767
0.142381, 1.033548
0.143896, 1.332732
0.145410, 0.815959
0.146925, 0.734363
0.148440, 0.679965
0.149955, 0.489575
0.151469, 1.115143
0.152984, 1.278335
0.154499, 1.795109
0.156013, 1.169541
0.157528, 0.299185
0.159043, 0.598370
0.160557, 0.979150
0.162072, 1.659116
0.163587, 1.985499
0.165101, 2.502273
0.166616, 2.230287
0.168131, 0.843157
0.169646, 1.169541
0.171160, 1.441527
0.172675, 1.196739
0.174190, 1.631917
0.175704, 1.142342
0.177219, 0.489575
0.178734, 0.707164
0.180248, 1.686314
0.181763, 1.523123
0.183278, 1.523123
0.184792, 1.441527
0.186307, 1.115143
0.187822, 1.495924
0.189337, 1.169541
0.190851, 0.761561
0.192366, 0.353582
0.193881, 1.223938
0.195395, 2.175889
0.196910, 2.475075
0.198425, 2.665465
0.199939, 2.937451
0.201454, 3.726211
0.202969, 3.318232
0.204483, 3.943800
0.205998, 4.161389
0.207513, 4.650964
0.209028, 5.086142
0.210542, 6.010895
0.212057, 5.874902
0.213572, 6.799655
0.215086, 6.527669
0.216601, 8.241182
0.218116, 9.655510
0.219630, 10.852249
0.221145, 10.226681
0.222660, 11.994592
0.224174, 13.354523
0.225689, 15.720802
0.227204, 14.986440
0.228719, 16.509562
0.230233, 16.183180
0.231748, 17.815096
0.233263, 17.379919
0.234777, 20.045383
0.236292, 19.691801
0.237807, 22.112478
0.239321, 21.378115
0.240836, 23.853189
0.242351, 22.928436
0.243866, 24.233971
0.245380, 22.819643
0.246895, 26.246668
0.248410, 25.621099
0.249924, 28.014578
0.251439, 27.334614
0.252954, 30.707243
0.254468, 30.489653
0.255983, 32.991928
0.257498, 33.209515
0.259012, 36.609344
0.260527, 35.439800
0.262042, 36.935726
0.263557, 36.364555
0.265071, 38.214062
0.266586, 37.806084
0.268101, 41.178711
0.269615, 42.701832
0.271130, 47.597584
0.272645, 50.426243
0.274159, 55.158802
0.275674, 57.715473
0.277189, 60.462532
0.278703, 61.849663
0.280218, 65.195091
0.281733, 65.983856
0.283248, 68.458923
0.284762, 69.410881
0.286277, 71.940353
0.287792, 71.668365
0.289306, 73.327477
0.290821, 73.871452
0.292336, 76.564117
0.293850, 76.917694
0.295365, 79.202385
0.296880, 79.610359
0.298394, 79.855148
0.299909, 78.277626
0.301424, 79.447166
0.302939, 79.501564
0.304453, 80.562309
0.305968, 80.127136
0.307483, 82.439018
0.308997, 84.070938
0.310512, 85.022888
0.312027, 85.838844
0.313541, 87.334770
0.315056, 88.531509
0.316571, 88.830696
0.318085, 89.129875
0.319600, 92.828888
0.321115, 95.739143
0.322630, 97.425461
0.324144, 97.452660
0.325659, 98.676598
0.327174, 99.274963
0.328688, 98.513405
0.330203, 97.643044
0.331718, 97.343864
0.333232, 96.663895
0.334747, 96.364708
0.336262, 96.500702
0.337776, 96.908684
0.339291, 97.289467
0.340806, 98.703789
0.342321, 99.410957
0.343835, 102.348404
0.345350, 105.149864
0.346865, 109.148064
0.348379, 111.922325
0.349894, 112.575089
0.351409, 111.813530
0.352923, 112.058311
0.354438, 112.248703
0.355953, 112.466293
0.357467, 111.351151
0.358982, 109.664833
0.360497, 106.754585
0.362012, 103.681137
0.363526, 102.185219
0.365041, 104.197914
0.366556, 104.170715
0.368070, 102.538795
0.369585, 101.178864
0.371100, 99.356560
0.372614, 96.908684
0.374129, 95.494354
0.375644, 94.596802
0.377158, 95.766342
0.378673, 98.513405
0.380188, 104.252312
0.381703, 109.800827
0.383217, 110.208809
0.384732, 107.842529
0.386247, 104.823479
0.387761, 101.586845
0.389276, 99.465355
0.390791, 98.595001
0.392305, 99.818939
0.393820, 99.927727
0.395335, 100.118118
0.396849, 100.199715
0.398364, 100.934082
0.399879, 102.538795
0.401394, 104.687492
0.402908, 104.905075
0.404423, 104.714691
0.405938, 103.137169
0.407452, 99.138969
0.408967, 96.582298
0.410482, 97.180672
0.411996, 97.425461
0.413511, 97.860634
0.415026, 97.316666
0.416540, 96.283112
0.418055, 94.080025
0.419570, 94.025627
0.421085, 92.774490
0.422599, 90.653000
0.424114, 90.788994
0.425629, 95.331161
0.427143, 98.730988
0.428658, 100.825287
0.430173, 103.354759
0.431687, 104.306709
0.433202, 103.001175
0.434717, 103.789932
0.436231, 103.354759
0.437746, 100.934082
0.439261, 95.983932
0.440776, 93.916832
0.442290, 92.339317
0.443805, 92.203323
0.445320, 91.604950
0.446834, 94.705597
0.448349, 97.643044
0.449864, 101.994827
0.451378, 103.490753
0.452893, 103.789932
0.454408, 102.049225
0.455922, 102.348404
0.457437, 101.260460
0.458952, 102.321213
0.460467, 101.641243
0.461981, 99.655746
0.463496, 96.065529
0.465011, 93.345665
0.466525, 86.437218
0.468040, 83.146179
0.469555, 79.827950
0.471069, 77.488869
0.472584, 74.143440
0.474099, 73.028297
0.475613, 72.402725
0.477128, 71.967552
0.478643, 71.613968
0.480158, 72.348328
0.481672, 70.526024
0.483187, 70.879601
0.484702, 71.423576
0.486216, 71.940353
0.487731, 71.069992
0.489246, 73.572266
0.490760, 74.633011
0.492275, 75.040993
0.493790, 74.986595
0.495304, 73.599464
0.496819, 71.668365
0.498334, 72.266731
0.499849, 73.137093
0.501363, 74.741806
0.502878, 75.938545
0.504393, 76.564117
0.505907, 75.530571
0.507422, 73.871452
0.508937, 71.178787
0.510451, 71.015594
0.511966, 69.982048
0.513481, 71.885956
0.514995, 74.877800
0.516510, 74.415428
0.518025, 73.001099
0.519540, 72.593117
0.521054, 73.109894
0.522569, 71.749962
0.524084, 71.695564
0.525598, 70.770813
0.527113, 70.743614
0.528628, 70.852402
0.530142, 70.988396
0.531657, 71.369179
0.533172, 69.574074
0.534686, 69.383682
0.536201, 69.438080
0.537716, 70.553223
0.539231, 72.212334
0.540745, 73.164291
0.542260, 72.484322
0.543775, 68.050949
0.545289, 63.726368
0.546804, 61.523277
0.548319, 62.529629
0.549833, 63.617573
0.551348, 62.964806
0.552863, 62.638424
0.554377, 63.998352
0.555892, 65.820663
0.557407, 65.548676
0.558922, 64.732719
0.560436, 65.494278
0.561951, 66.364632
0.563466, 66.827011
0.564980, 67.425377
0.566495, 70.961197
0.568010, 76.754509
0.569524, 81.786247
0.571039, 83.744553
0.572554, 84.968491
0.574068, 84.016541
0.575583, 82.874199
0.577098, 83.064583
0.578613, 83.254974
0.580127, 81.623062
0.581642, 82.602211
0.583157, 83.662956
0.584671, 83.336571
0.586186, 81.242279
0.587701, 79.039192
0.589215, 76.128937
0.590730, 74.469826
0.592245, 74.877800
0.593759, 75.965744
0.595274, 76.564117
0.596789, 75.802551
0.598304, 75.040993
0.599818, 77.216881
0.601333, 77.597664
0.602848, 77.924049
0.604362, 77.570465
0.605877, 76.455322
0.607392, 74.687408
0.608906, 74.497017
0.610421, 72.538719
0.611936, 71.042793
0.613450, 70.444427
0.614965, 70.607620
0.616480, 71.369179
0.617995, 73.354675
0.619509, 76.944893
0.621024, 81.813446
0.622539, 85.757248
0.624053, 87.824341
0.625568, 88.422714
0.627083, 90.081833
0.628597, 92.475311
0.630112, 94.188820
0.631627, 91.523354
0.633142, 89.537857
0.634656, 88.857895
0.636171, 89.211472
0.637686, 88.694702
0.639200, 86.410019
0.640715, 84.914093
0.642230, 85.022888
0.643744, 84.125336
0.645259, 84.315720
0.646774, 84.206924
0.648288, 81.813446
0.649803, 80.399124
0.651318, 77.488869
0.652833, 78.168831
0.654347, 77.624863
0.655862, 75.312981
0.657377, 74.442627
0.658891, 72.783508
0.660406, 73.218689
0.661921, 75.367378
0.663435, 74.850601
0.664950, 76.319328
0.666465, 79.501564
0.667979, 81.459869
0.669494, 83.309372
0.671009, 83.091782
0.672523, 82.765404
0.674038, 84.750900
0.675553, 84.859695
0.677068, 85.213280
0.678582, 86.328423
0.680097, 87.361969
0.681612, 88.395515
0.683126, 90.408211
0.684641, 92.067329
0.686156, 89.864243
0.687670, 88.313919
0.689185, 85.893242
0.690700, 83.826149
0.692214, 84.234123
0.693729, 84.152534
0.695244, 84.315720
0.696759, 86.301224
0.698273, 87.307571
0.699788, 87.089981
0.701303, 84.614906
0.702817, 83.146179
0.704332, 82.520615
0.705847, 82.493416
0.707361, 82.058235
0.708876, 81.568665
0.710391, 81.541466
0.711905, 82.982986
0.713420, 82.819801
0.714935, 83.934944
0.716450, 85.485260
0.717964, 87.797142
0.719479, 87.878738
0.720994, 88.232323
0.722508, 87.198776
0.724023, 85.730049
0.725538, 84.424515
0.727052, 83.173378
0.728567, 80.915894
0.730082, 80.888695
0.731597, 83.064583
0.733111, 85.267677
0.734626, 84.098137
0.736141, 84.995689
0.737655, 85.730049
0.739170, 88.150726
0.740685, 89.483459
0.742199, 92.692894
0.743714, 94.923187
0.745229, 100.036522
0.746743, 102.294014
0.748258, 105.993019
0.749773, 103.137169
0.751288, 99.574150
0.752802, 96.011131
0.754317, 95.140770
0.755832, 94.324814
0.757346, 94.624001
0.758861, 92.121727
0.760376, 91.768143
0.761890, 91.169777
0.763405, 91.740944
0.764920, 93.182472
0.766434, 95.249565
0.767949, 95.222366
0.769464, 95.303963
0.770979, 95.031982
0.772493, 97.425461
0.774008, 97.806236
0.775523, 97.833435
0.777037, 98.758186
0.778552, 100.553299
0.780067, 100.036522
0.781581, 98.703789
0.783096, 95.793541
0.784611, 92.067329
0.786125, 88.286720
0.787640, 86.165230
0.789155, 83.771751
0.790670, 83.880547
0.792184, 84.805298
0.793699, 86.790794
0.795214, 83.826149
0.796728, 82.547813
0.798243, 82.275826
0.799758, 84.750900
0.801272, 84.832497
0.802787, 87.008385
0.804302, 88.205124
0.805816, 86.736397
0.807331, 83.282173
0.808846, 80.671104
0.810360, 79.229584
0.811875, 78.794403
0.813390, 76.509720
0.814905, 77.733658
0.816419, 78.277626
0.817934, 79.691956
0.819449, 81.840645
0.820963, 84.234123
0.822478, 84.342918
0.823993, 87.797142
0.825507, 91.115379
0.827022, 93.046478
0.828537, 91.332970
0.830052, 90.435410
0.831566, 92.067329
0.833081, 92.937683
0.834596, 90.000237
0.836110, 91.360168
0.837625, 93.753647
0.839140, 94.352013
0.840654, 94.216019
0.842169, 95.113571
0.843684, 98.323013
0.845198, 101.913231
0.846713, 101.695641
0.848228, 102.919579
0.849743, 101.722839
0.851257, 97.806236
0.852772, 95.603149
0.854287, 94.243217
0.855801, 92.665695
0.857316, 92.692894
0.858831, 91.278572
0.860345, 90.136230
0.861860, 86.981186
0.863375, 86.138031
0.864889, 88.640305
0.866404, 90.625801
0.867919, 90.707397
0.869434, 92.067329
0.870948, 90.843391
0.872463, 89.809845
0.873978, 86.437218
0.875492, 85.621254
0.877007, 85.403664
