Time, Low-pass and stretch (1st partial)
0.000000, 0.271986
0.001515, 0.353582
0.003029, 2.447876
0.004544, 3.127841
0.006059, 1.876705
0.007573, 1.577520
0.009088, 1.441527
0.010603, 0.734363
0.012118, 0.543972
0.013632, 1.740712
0.015147, 1.332732
0.016662, 0.815959
0.018176, 2.148691
0.019691, 2.148691
0.021206, 1.903903
0.022720, 1.305534
0.024235, 3.835006
0.025750, 3.671814
0.027264, 2.502273
0.028779, 2.257485
0.030294, 3.508622
0.031809, 1.686314
0.033323, 0.462377
0.034838, 1.006349
0.036353, 0.380781
0.037867, 2.012698
0.039382, 2.230287
0.040897, 3.155040
0.042411, 5.058943
0.043926, 2.855855
0.045441, 0.598370
0.046955, 1.278335
0.048470, 2.094294
0.049985, 1.931102
0.051500, 1.251137
0.053014, 0.353582
0.054529, 2.638266
0.056044, 3.427026
0.057558, 2.475075
0.059073, 1.958301
0.060588, 1.577520
0.062102, 0.353582
0.063617, 0.788760
0.065132, 2.012698
0.066646, 3.318232
0.068161, 1.495924
0.069676, 0.734363
0.071191, 2.556670
0.072705, 2.774259
0.074220, 0.951952
0.075735, 1.659116
0.077249, 0.652767
0.078764, 1.305534
0.080279, 1.387130
0.081793, 1.767910
0.083308, 1.577520
0.084823, 2.094294
0.086337, 1.169541
0.087852, 2.257485
0.089367, 2.747061
0.090882, 3.535821
0.092396, 2.910252
0.093911, 6.990046
0.095426, 21.650101
0.096940, 30.652845
0.098455, 26.219469
0.099970, 14.551262
0.101484, 6.228484
0.102999, 11.450619
0.104514, 11.069839
0.106028, 9.818702
0.107543, 5.766108
0.109058, 7.262032
0.110573, 7.343627
0.112087, 7.534018
0.113602, 10.145085
0.115117, 9.165935
0.116631, 6.881251
0.118146, 5.820505
0.119661, 4.786957
0.121175, 7.697209
0.122690, 9.111538
0.124205, 10.335476
0.125719, 10.988242
0.127234, 6.473271
0.128749, 4.487772
0.130264, 7.126039
0.131778, 8.159586
0.133293, 7.289230
0.134808, 8.023593
0.136322, 10.471469
0.137837, 11.695407
0.139352, 10.797853
0.140866, 9.682709
0.142381, 11.396222
0.143896, 14.959241
0.145410, 13.245728
0.146925, 11.749804
0.148440, 15.965590
0.149955, 16.890343
0.151469, 16.699953
0.152984, 16.781549
0.154499, 16.074385
0.156013, 18.875843
0.157528, 19.909389
0.159043, 20.643753
0.160557, 19.909389
0.162072, 18.631054
0.163587, 21.840492
0.165101, 24.478758
0.166616, 24.533155
0.168131, 28.096174
0.169646, 31.686392
0.171160, 32.801537
0.172675, 31.305613
0.174190, 33.508701
0.175704, 37.914875
0.177219, 38.350056
0.178734, 43.490593
0.180248, 45.312901
0.181763, 46.047264
0.183278, 52.928516
0.184792, 54.941212
0.186307, 55.050007
0.187822, 58.504230
0.189337, 60.734520
0.190851, 63.943954
0.192366, 67.425377
0.193881, 69.737259
0.195395, 76.264931
0.196910, 80.997490
0.198425, 83.390968
0.199939, 87.905937
0.201454, 93.726448
0.202969, 98.459007
0.204483, 102.022026
0.205998, 106.808983
0.207513, 111.051964
0.209028, 119.918716
0.210542, 129.628616
0.212057, 134.769165
0.213572, 141.840805
0.215086, 151.605103
0.216601, 161.206223
0.218116, 168.631439
0.219630, 177.878983
0.221145, 187.888062
0.222660, 198.005951
0.224174, 208.015045
0.225689, 219.003296
0.227204, 232.874588
0.228719, 245.168365
0.230233, 255.803024
0.231748, 267.743225
0.233263, 280.172974
0.234777, 293.527496
0.236292, 307.398804
0.237807, 322.194855
0.239321, 334.978210
0.240836, 347.625549
0.242351, 362.204010
0.243866, 377.380859
0.245380, 390.653778
0.246895, 406.537781
0.248410, 424.189667
0.249924, 439.502502
0.251439, 450.681122
0.252954, 466.102753
0.254468, 483.210693
0.255983, 500.454620
0.257498, 514.706665
0.259012, 526.402100
0.260527, 542.177307
0.262042, 554.117493
0.263557, 566.900818
0.265071, 578.705017
0.266586, 590.210083
0.268101, 605.604492
0.269615, 617.871033
0.271130, 630.436829
0.272645, 645.096863
0.274159, 659.104187
0.275674, 668.433289
0.277189, 675.178528
0.278703, 687.281921
0.280218, 700.854065
0.281733, 710.971924
0.283248, 722.286560
0.284762, 731.942078
0.286277, 740.564026
0.287792, 749.539551
0.289306, 760.174255
0.290821, 767.653870
0.292336, 774.943115
0.293850, 786.312134
0.295365, 797.028381
0.296880, 804.453613
0.298394, 808.614990
0.299909, 816.420959
0.301424, 824.934143
0.302939, 833.991272
0.304453, 839.458191
0.305968, 846.203491
0.307483, 856.919739
0.308997, 863.692200
0.310512, 869.213501
0.312027, 875.822754
0.313541, 882.241638
0.315056, 886.158264
0.316571, 888.687744
0.318085, 891.761169
0.319600, 899.784729
0.321115, 906.257996
0.322630, 910.256226
0.324144, 914.254395
0.325659, 918.769409
0.327174, 925.949829
0.328688, 930.573608
0.330203, 931.171936
0.331718, 934.299805
0.333232, 937.754028
0.334747, 937.944397
0.336262, 943.628906
0.337776, 942.867371
0.339291, 941.752197
0.340806, 945.913635
0.342321, 952.686096
0.343835, 956.439453
0.345350, 957.228210
0.346865, 962.885559
0.348379, 966.258179
0.349894, 967.590881
0.351409, 968.923645
0.352923, 972.105896
0.354438, 974.526550
0.355953, 978.606323
0.357467, 978.715149
0.358982, 980.999817
0.360497, 981.543823
0.362012, 979.803101
0.363526, 982.958130
0.365041, 987.010742
0.366556, 993.021606
0.368070, 996.149475
0.369585, 1000.827637
0.371100, 1002.350769
0.372614, 1006.240173
0.374129, 1012.142273
0.375644, 1016.058838
0.377158, 1019.322693
0.378673, 1022.341736
0.380188, 1026.149536
0.381703, 1028.189453
0.383217, 1029.359009
0.384732, 1028.298218
0.386247, 1027.237427
0.387761, 1028.216675
0.389276, 1029.223022
0.390791, 1029.630981
0.392305, 1030.582886
0.393820, 1030.990845
0.395335, 1034.499512
0.396849, 1037.382568
0.398364, 1035.179443
0.399879, 1035.125122
0.401394, 1035.206665
0.402908, 1035.097900
0.404423, 1034.717163
0.405938, 1035.859497
0.407452, 1033.329956
0.408967, 1028.080688
0.410482, 1024.952759
0.411996, 1024.381592
0.413511, 1026.203979
0.415026, 1024.626465
0.416540, 1022.559326
0.418055, 1021.852173
0.419570, 1019.893860
0.421085, 1020.193054
0.422599, 1016.113220
0.424114, 1009.041626
0.425629, 1010.347168
0.427143, 1011.679871
0.428658, 1008.171265
0.430173, 1004.553833
0.431687, 1005.342590
0.433202, 1000.582825
0.434717, 998.814941
0.436231, 1005.750549
0.437746, 1001.833984
0.439261, 998.542969
0.440776, 996.775024
0.442290, 992.042480
0.443805, 987.228333
0.445320, 985.433228
